3663707.05
1    43.52
1    21826.57
2    3895.62
1    809.5
1    187.4
2    703.95
1    40.05
1    5552.89
1    321602.29
2    377.92
1    31485.3
1    13672.19
1    4569.94
2    344.95
1    176.82
1    773.07
1    132129.48
1    1412
2    8135.56
2    7520.38
1    3055.45
1    32.93
2    3457.53
1    686.64
1    995.4
1    9410.57
1    334.35
2    104
2    25135.1
1    90908.62
1    17065.82
1    721.32
2    867.35
1    13753.42
1    1749.89
1    23344.21
1    4196.45
1    5044.97
1    7786.9
2    1293.75
1    2069.61
1    2486.43
1    73.24
2    42305.92
2    678.48
1    40
1    119660.84
1    78290.41
1    393.37
1    1307.79
1    137.33
1    83749.98
1    474.36
1    11052.42
1    216697.95
1    617.44
1    228.89
2    27862.52
2    373
2    19.07
2    6636.61
1    2754.78
2    1471.86
2    250653.02
2    337.45
2    2277.21
1    393.37
1    3563.98
1    733.37
1    18825.57
2    690
1    720.62
2    469.28
1    4.01
1    7496
2    269.3
2    157.5
2    40
1    10090.47
2    343.34
1    5934.6
2    458.64
2    315910.71
1    1719.31
2    1752.18
1    2408940.05
1    125.88
2    5993.36
1    2610.04
2    79.8
1    11.06
1    43040.05
2    2432.34
