332710.49
Férias 218703.75 0 0
Reembolso_Tarifa_bancaria 2670.45 0 0
Médias_Sal._Maternidade 512.66 0 0
Aviso_Prévio_sobre_anos_trabalhados 3722.98 0 0
Férias_Prop._(Dias_Excedentes_do_Aviso) 684.64 0 0
Aviso_excedente_aos_30_dias_trabalhados 3702.54 0 0
Faltas_no_Período_(Sobre_Adicional) -6.25 0 0
Aviso_Prévio_Indenizado 12133.92 0 0
Décimo_Terceiro_Indenizado 24905.63 0 0
Décimo_Terceiro_Aviso 1199.39 0 0
Art._9º._Lei_7.238/84 9035.45 0 0
1/3_Férias 87395.31 0 0
T.Alim._não_utilizado -700 0 0
Pensão_Alim._30% -1528.24 0 0
